id	question1	question2	pre_label
0	生父母要求解除收养关系 养父母可主张经济补偿吗？	养父母起诉解除收养关系，可以要回抚养费吗	0
1	行政机关强行解除行政协议造成损失，如何索取赔偿？	行政机关使用或者损毁扣押的财物，应当承担什么法律责任	0
2	律师查阅案卷材料如何处理？	律师如何去法院调取案卷材料	1
3	出卖人一物多卖，买受人不能按照合同约定取得标的物所有权的，买受人是否可以追究出卖人违约责任	出卖人一物多卖，买受人不能按照合同约定取得标的物所有权的，买受人是否可以主张出卖人支付违约金	0
4	我和女朋友没结婚就同居，犯法吗	在没领证的情况下同居犯法吗	1
5	借钱给朋友到期不还的什么时候可以起诉？怎么起诉？	朋友借我的钱到期不还，我可以什么时候起诉他？怎么起诉？	1
6	什么情况下，机动车办理变更登记？	什么情况下，机动车不能办理变更登记？	1
7	劳动合同除必备条款外，可以约定哪些事项	除了《劳动合同法》可以在劳动合同中约定哪些事项？	0
8	食品经营者应当如何贮存食品	关于贮存食品，食品经营者应该怎么做？	1
9	消费者协会能否因消费者权益受到侵害而提起诉讼？	消费者协会能否因消费者权益没有受到侵害而提起诉讼？	1
10	哪种情况下利害关系人可以向不动产登记机构申请异议登记	哪种情况下利害关系人不能向不动产登记机构申请异议登记	0
11	对于出现有两人以上违纪的如何处分？	有两人以上违纪的要如何来处分？	1
12	医疗事故纠纷起诉后还可以鉴定吗？	认为是医疗事故，不经鉴定可以直接向人民法院起诉吗	0
13	对公安行政处罚不服怎么处理？	对派出所处罚不服该在多长时间内起诉	0
14	司法所是做什么的？	谁了解街道司法所是什么单位？	0
15	消费者是否可以就消费纠纷提请仲裁？	请问消费者与经营者之间争议的五种解决途径是什么？	0
16	实习生工作的时候受伤可以认定为工伤吗？	实习生工作时受伤到底能不能认定为工伤	1
17	离婚证遗失或损毁的该如何补救	离婚证丢失了，又要结婚了怎么办	0
18	内幕交易罪、泄露内幕信息罪有哪些构成条件？	有哪些条件可以构成内幕交易罪、泄露内幕信息罪呢？	1
19	我将未投交强险的车辆借出去了，然而发生交通事故，我该不该承担责任？	我把车借给朋友，发生了事故，但是我没投交强险，我是否需要承担责任？	1
20	如何解决别人在新浪微博上诽谤我的帖子，网站官方又不肯删帖的问题？	有人在网上发帖罔顾事实，网站方也不删除了，这种情况怎么处理	1
21	申请人身安全保护令保护期限多长？	请问人身安全保护令的有效保护时间是多长	1
22	对于符合诉讼法起诉条件的消费者权益之争，人民法院需要受理吗	在符合《诉讼法》规定的起诉条件的情况下，人民法院是否会受理消费者权益的争议？	1
23	租房未到合同期限，不想租了，能合同能解除么？	租房合同未到期，终止合同了后会退给对应的房租么？	0
24	打着“爱心互助”的名义从事传销活动？	全民爱心互助是传销组织吗？	0
25	律师遗嘱见证收费标准是怎样的？	应该如何请律师办理遗嘱见证	0
26	小孩高空抛物砸到人怎么办？	熊孩子从楼上往下扔东西玩结果砸着人了，如何处理？	1
27	租房未到合同期搬走需要赔偿吗？	不想租了，合同未到期的需要赔偿吗？	0
28	一方失踪了，另一方可以提出离婚吗？	老公失踪很久了，我可以要求离婚吗	1
29	复员军人旧伤复发可否享用工伤待遇？	因公负伤军人复员后旧伤复发算工伤吗	1
30	消费者有权要求商家出具食品检测报告吗？	消费者可以要求商家提供食品的检测报告吗？	1
31	未办理物权登记的，是否影响不动产物权合同效力	不动产物权没有办理登记，会影响物权合同的效力吗	1
32	有多份遗嘱应该怎么办？	有多份公证遗嘱怎么办	1
33	需要评估的案件能用小额程序吗？	离婚案件适用一审终审的小额诉讼程序吗	0
34	接到举报违反劳动合同法行为的，劳动行政部门应当如何处理举报	劳动行政部门怎么处理关于违反劳动合同法行为的举报	1
35	对食品药品投诉举报处理结果不满意怎么办？	食品药品举报投诉的处理结果，举报人不满意，如何处理？	1
36	什么是会计工作的社会监督？	会计工作的社会监督和社会监督是一回事吗	0
37	车辆发生交通事故后逃逸的，事故现场目击人员和其他知情人员能否举报？	朋友开车撞到了老人了后开车逃跑被人看到了，看到他的那个人能举报他吗？	1
38	什么情况不能作为认定案子事实的依据？	单一的证人证言能否作为案件依据?	0
39	什么情况下经营者合并不会被禁止？	为什么会有经营者合并的情况出现呢？	0
40	使用100元假币如何处罚？	使用一张百元假币违法吗	0
41	商标权的基本特征有哪些？	我国规定的商标权的特性有什么？	1
42	如果合作开发的当事人一方不同意申请专利，其他方申请专利会违法吗？	合作完成的发明一方不同意,别人能申请专利吗？	1
43	在发生什么纠纷的情况下可以申请仲裁	可以申请仲裁的纠纷都有哪些？	1
44	刑事案件立案标准的规定有哪些？	对于刑事案件的立案有什么规定？	1
45	不赡养父母的子女可以分家产吗？	不赡养父母的子女是否可以分家产	1
46	离婚协议书怎么公证？	公证离婚协议书，需要做什么？	0
47	夫妻一方对外担保之债能否认定为夫妻共同债务	夫妻一方作为连带保证人，保证债务可否作为夫妻共同债务？	1
48	犯罪嫌疑人可以委托辩护人为自己辩护么？	被告人是否可以委托辩护人为自己辩护？	1
49	调查前期准备工作有哪些？	做市场调查，要准备什么工作？	1
50	人身安全保护令的保护期限是多久	因为家暴我申请了人身安全保护令，这个保护令的保护期限是多少天呢	1
51	劳动者在试用期内解除劳动合同需要提前多少天通知用人单位	试用期解除劳动合同提前几天	1
52	婚姻存续期间归夫妻共同财产中的“知识产权的收益”是指什么	合同协议有效期间归夫妻共同财产中的“知识产权的收益”是指什么	1
53	应当载明哪些内容在劳务派遣单位与被派遣劳动者订立的劳动合同里面	劳务派遣单位与被派遣劳动者订立的劳动合同，哪些内容应当载明	1
54	技术合同价款、报酬或使用费约定提成支付的，提成比例如何确定	专利使用费如何确定，专利使用费的支付方式有哪些	0
55	什么是食品的保持期？	怎么区分食品是否过保持期的?	0
56	涉外离婚怎么争取孩子抚养权？	求助关于涉外婚姻离婚小孩的抚养权	1
57	依法应当参加工伤保险统筹的用人单位的劳动者,遭受人身损害，应由谁来承担责任	上班期间被车撞伤肇事方和单位应当承担什么责任	0
58	如何处理美容店骗钱的情况？	美容院顾客被坑了如何是好？	1
59	合同什么时候开始对双方有约束力？	合同自何时开始对当事人双方有法律约束力？	1
60	被打致眼睛受伤对方要承担刑事责任吗？	我被人打伤了眼睛，可以追究对方刑事责任吗	1
61	学生擅自离开学校，受到伤害学校要负责吗？	学生在校意外受伤，学校没收保险，校方有责任吗？	0
62	打着“爱心互助”的名义从事传销活动？	违法传销以互帮互助的名义进行活动怎么办。	0
63	双方都不要孩子，可以判给爷爷奶奶养吗？	如果夫妻离婚，双方都不要孩子，孩子怎么办？	0
64	保管人在接受保管物时是否应当进行验收	保管人接受保管物时应进行验收吗	1
65	用人单位不交社保向哪个部门投诉？	用人单位不交医保向哪个部门投诉？	0
66	非食品生产经营者从事食品贮存、运输和装卸的，应该符合哪些食品安全的相关规定	食品生产经营单位必须做到那些方面答案	0
67	国有独资企业的股东会的特别规定有哪些？	国有独资公司股东会包含了哪些特别规定？	1
68	婚姻被宣告无效可以上诉吗？	对宣告婚姻无效的判决可否上诉	1
69	法律中对交通事故认定标准是什么？	认定交通事故的标准是怎么样的？	1
70	二手房买卖合同必须约定定金吗？	二手房房屋买卖合同是否要有定金约定	1
71	民事诉讼的基本制度包括哪些？	什么属于民事诉讼的基本制度？	1
72	企业转让资产的净值能否在企业所得税税前扣除？	请问我国企业所得税法第二十七条第项有哪些规定？	0
73	我的工作单位未交公积金，是否可以让单位补交？	公司没有给员工交公积金，员工可以要求公司补交公积金么？	1
74	通过假钱进行交易，犯了什么罪	我用假币买东西，那我会有哪些罪	1
75	消费者买到过期食品怎么办？	在商店买到过期食品，该如何应对？	1
76	关于单身男子领养女孩都有哪些条件限制？	收养法对无配偶男性收养女性有何特殊条件限制	0
77	自行下载打印的发票可以作为记账凭证吗？	我想问下发票是自行下载打印的，能不能作为记账的凭证呢？	1
78	哪几类合同的债权不能转让？	怎么正确的签订合同，需要注意什么？	0
79	生产经营转基因食品是否应当标示	是不是应当标示生产经营的是转基因食品？	1
80	什么情况下银行可以冻结信用卡？	国家在什么情况下可以冻结银行卡	1
81	遭遇家暴可以获得赔偿吗？	家庭暴力赔偿有什么标准	0
82	债务人违约，债权人能否行使优先受偿权？	债务人违约，债权人能否行使优先选举权？	0
83	食品生产经营没有许可行不行？	没有许可开始食品生产经营合法吗？	1
